"","SoC","Exp"
"553",16414.5136587487,52646.510482326
"554",18205.380615869,53706.0305538992
"555",17289.5215322295,52769.104064247
"556",19053.354812617,58305.8042552181
"557",17808.6042159079,42633.6697480402
"558",19676.4093544257,50715.5399408104
"559",18544.3261061744,57378.1965920755
"560",16674.4829264118,42199.5626041147
"561",17232.9589696864,44543.4460160449
"562",17141.4103959834,42578.6459701983
"563",19305.4979163605,54618.2225362544
"564",16505.5914233628,50230.2622844813
"565",19387.1225907517,49442.6760223906
"566",19482.9372723117,43796.4542874594
"567",16121.443495744,47541.2740675409
"568",18458.877547447,46531.0697350028
"569",16419.3826339107,51695.9531485379
"570",15640.5955301082,46548.4067459948
"571",18629.0846304093,45821.171806774
"572",17922.2077697881,52239.0437313221
"573",18354.1075208638,52965.8125284776
"574",18497.7464033161,61299.1300684658
"575",20450.3610499897,52607.1309263817
"576",15880.3832085284,51455.548696514
"577",15663.8716203649,55620.5615481325
"578",18050.58293309,61748.7121922225
"579",17764.9378184104,50910.81891976
"580",17776.6597506816,48430.9372113024
"581",17042.988970526,51370.0743200139
"582",16622.082869507,51068.7932283791
"583",19894.6022274015,66252.4125451827
"584",19627.9814140275,53598.4082210843
"585",18902.0480988553,55783.7540859032
"586",16862.5374562164,48542.8441971539
"587",16760.9116668802,43536.2762492052
"588",18979.2235524539,56119.0159988984
"589",19099.6845470511,47583.8017347892
"590",16507.6810408105,52275.0574173584
"591",21665.2086551265,58859.5557829605
"592",19862.2485864962,65619.6513632239
"593",17954.7435426442,53659.5017841287
"594",16651.7456826725,49731.314187463
"595",17366.4199993065,51705.3539381237
"596",17914.1680911638,44873.8774270245
"597",17941.9796234939,56060.9110947381
"598",19935.7635638501,51901.3121255951
"599",16222.6955836456,40136.3153866845
"600",18640.5957222934,56002.678378213
"601",17754.2993222466,46992.9910965149
"602",16968.0404739182,46580.6941890647
"603",17823.2165119145,56745.1984741645
"604",18619.3163797194,53725.2840250041
"605",16482.4216745774,48740.1057456257
"606",19241.2435219529,62938.3059512408
"607",17097.6952210043,56671.2435483565
"608",20020.9278232692,45216.3905900536
"609",18086.9252305614,47370.6465177762
"610",18697.9420469085,57772.757082738
"611",16392.4420590012,41811.7343999497
"612",16966.8936568756,56317.1778835262
"613",16835.0748514306,50897.9631256926
"614",18050.5617000992,51504.4166928997
"615",17621.2994590589,54612.8773643441
"616",19069.3414041078,53352.0681830562
"617",17599.347847157,50282.8658477596
"618",16055.9784074119,46658.0417648815
"619",17277.9254697453,49985.5528553567
"620",16867.7683906644,51211.2937815254
"621",17066.8021100178,56499.4146353448
"622",17444.0948112037,44447.256779496
"623",20107.4907369283,59460.2896830882
"624",17167.7009065598,49961.1954850401
"625",19474.3366114009,46777.7601043051
"626",16775.8638585484,49862.2745497477
"627",16081.7461320945,49551.2225439816
"628",19933.9481672328,51678.2499140643
"629",16386.2652281197,45269.7584324968
"630",16666.3701848226,51105.9752568181
"631",18212.5013656431,45183.1692174127
"632",19013.4843521019,65263.5720522115
"633",17499.6033627763,44114.3096478929
"634",16192.5716386709,44506.7815561608
"635",19372.8427213368,55559.1072922414
"636",20693.2597652777,60850.8036348931
"637",18483.8682644702,51949.4258932574
"638",16130.0820290677,51124.8990864465
"639",18079.4419029217,56431.1478989259
"640",16980.6919372822,53749.8765006553
"641",17198.0606760632,44405.2661816882
"642",17650.1653777209,52548.7013329325
"643",17052.7760323097,60142.8638969179
"644",17429.7917371945,61888.4005261584
"645",17265.4712122213,54177.2638104796
"646",17854.685180497,52121.565123104
"647",19286.4623987588,50509.982849366
"648",18641.0583113932,54532.891946999
"649",17441.87736217,57759.0078841509
"650",16645.5987712159,43971.1597508126
"651",16193.7810170223,49915.5011751884
"652",16218.4720598314,47946.6484841953
"653",15723.2438031141,47454.3711969795
"654",19395.6216230857,55711.6913917801
"655",17172.1607482836,48966.8856977237
"656",17918.6255945336,50615.8113992609
"657",15688.1752754379,43150.647562952
"658",18330.9929207993,50907.0929561231
"659",16745.6272438331,54131.6200426923
"660",16340.0554432552,48499.5042673107
"661",17180.7410896572,53665.2499403994
"662",16221.1488961272,50267.1879169243
"663",16014.0031331161,50163.5508805336
"664",15490.4440494542,52333.9888612907
"665",17799.1221784095,49974.5863176767
"666",17983.9567996539,50878.0238979982
"667",18982.8689704879,53548.7712136462
"668",19546.9317146132,56398.6744255245
"669",19561.374845122,57982.2624859636
"670",14373.3992615309,44482.7803996872
"671",17711.1095743884,48121.9977995387
"672",20048.2258841333,43759.5243617415
"673",16506.2429536213,50444.1802096825
"674",17539.1735283714,47049.9067060274
"675",19132.0430004768,60126.6797901228
"676",16969.8942278736,56248.3189314565
"677",18678.0916038323,51645.1133914812
